,people_served,elevation,cell,people_crossing_daily,injuries,deaths,near_city_centers,how_to_cross_river,len_impossible_dangerous_to_cross,time_to_nearest_safe_passage,hours_to_reach_hospital,hours_to_reach_medical_center,hours_to_reach_market,hours_to_reach_elementary,hours_to_reach_midlle_school,hours_to_reach_church,land_type_within_50m,soil_type,sand_availible,gravel_availible,stone_availible,timber_availible,stone_provided_by,sand_provided_by,gravel_provided_by,timber_provided_by,cement_provided_by,steel_provided_by,land_owner,ownership_permission,general_comments
0,3000-6000,1621m,Muhororo,>600,Many,No,-Birambo -Nyakabuye,now-Walking through river,6-9 months,1-2,0.5,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 4 m-The proposed bridge span is 100 m-The level difference between two banks is approximately 0.3m (Approximately the same)-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The bank profile of the site is approximately partially smooth-The river bank of the site is showing sign of erosion and it is located between two flat areas-The soil from the site is silt for both sides-The site is located between two flat areas with silt soil for both sides
0,1000-3000,1867m,Nyarusanga,50-150,2,No,-Kamina -Nyarusanga,now-Walking through river,3-6 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 2m-The proposed bridge span is 25m-The level difference between two banks is approximately 0.1m (Approximately the same)-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The bank profile of the site is approximately partially cut out-The river bank of the site is not showing any sign of erosion and it is located between two hills-The soil from the site is hard rock for both sides-The site is located between two hills with a rock for both sides
0,500-1000,1484m,Kaseke,150-300,Many,No,-Rwamiko -Mugano,now-Simple timber bridge,6-9 months,2-3,1-2,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 3m.-The proposed bridge span is approximately 50m.-The level difference between two banks is approximately 0.02m.-The space for foundation is sufficient for both sides.-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient (>Span/25).-There is no confluence area near the place.-The river bed at this site is stable  there is no possibility of erosion.-The bank profile of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,1000-3000,1615m,kazabe-Nyamata,150-300,Many,No,-Muhororo -Ngororero,now-Simple timber bridge,6-9 months,1-2,0.5-1,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 4m.-The proposed bridge span is approximately 38m.-The level difference between two banks is approximately 0.1m.-The space for foundation is sufficient.-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient (>Span/25).-There is no confluence area near the place.-The river bed at this site is stable  there is no possibility of erosion.-The bank profile of the site is not showing sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,500-1000,1630m,Gatare-Giseke,150-300,Many,2Peoples,-Nyagasozi -Mburamazi -Tetero -Maranimpa -Muvugangoma,now-Simple timber bridge,9-12 months,2-3,1-2,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of 2m.-The proposed bridge span is approximately 45m.-The level difference between two banks is approximately 0.03m(almost the same).-The space for foundation is sufficient for both sides.-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient (>Span/25).-There is no confluence area near the place.-The river bed at this site is stable  there is no possibility of erosion.-The bank profile of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,6000-10000,2327m,Jaba,>600,3,No,-Mukamira -Jenda,now-Simple timber bridge,6-9 months,1-2,0.5,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 1.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between a hill and an elevated area.-The soil from the site is volcanic rock for both sides.
0,500-1000,2528m,Mutaho,50-150,No,No,-Bugonde -Kamiro,now-Walking through river,3-6 months,1-2,2-6,2-6 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 22m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two elevated areas.-The soil from the site is silt soil for both sides.
0,500-1000,2392m,Rwantobo,150-300,No,No,-Gasiza,now-Walking through river,3-6 months,1-2,1-2,1-2 hours,0.5 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,Clay ,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 15m.-The proposed bridge span is approximately 25m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is unstable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two hills.-The soil from the site is clay soil for both sides.
0,1000-3000,1979m,Ruganda-Bakopfu,50-150,-Many,-No,-Ruganda -Kiyovu,now-Simple timber bridge,1-3 months,2-3,>6,1-2 hours,0.5 hours,0.5 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately10m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.3m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between an elevated area and a flat area.-The soil from the site is silt for both sides
0,500-1000,1524m,Nyagisozi,50-150,Many,More,-Masizi -Kabageni,now-Walking through river,9-12 months,1-2,2-6,1-2 hours,2-6 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 65m.-The level difference between two banks is 0.04m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1729m,Gashiha,150-300,Many,2,-Gataba,now-Simple timber bridge,6-9 months,2-3,>6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 48m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is silt for one side and hard rock for the other side.
0,3000-6000,2102m,Kibyagira-Kizimyamuriro,300-600,Many,No,-Kizimyamuriro,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 3825m.-The level difference between two banks is 0.07m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is hard rock for both sides.
0,1000-3000,1539m,Nyagisozi-Mwendo,150-300,Many,More,-Masizi -Kabageni,now-Walking through river,9-12 months,2-3,2-6,1-2 hours,2-6 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 100m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is sandy for both sides.
0,3000-6000,2190m,Bushigishigi-Kizimyamuriro,150-300,Many,2,-Kizimyamuriro,now-Simple timber bridge,6-9 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,1000-3000,1858m,Gashiha,150-300,Many,No,-Gasharu -muduha -Kibirizi,now-Simple timber bridge,3-6 months,2-3,1-2,1-2 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 38m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between Flat areas.-The soil from the site is silt for both sides.
0,500-1000,1540m,Masizi,50-150,Many,No,-Masizi,now-Simple timber bridge,3-6 months,1-2,>6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
0,500-1000,1614m,Murambi,50-150,Many,No,-Kaduha,now-Walking through river,6-9 months,2-3,>6,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 24m.-The level difference between two banks is 0.07m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion.-The soil from the site is hard rock for both sides.
0,3000-6000,1484m,Gatare,>600,Many,1,-Macuba -Bisheke,now-Simple timber bridge,9-12 months,2-3,1-2,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 20m.-The proposed bridge span is approximately 60m.-The level difference between two banks is approximately 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,3000-6000,1474m,Kagarama,150-300,Many,No,-Mugonero -Mahembe -Gabiro,now-Simple timber bridge,6-9 months,<,0.5-1,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of 15m.-The proposed bridge span is approximately 18m.-The level difference between two banks is approximately 0.07m(almost the same)-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,3000-6000,1544m,Cyabakamyi-Gahunga,300-600,-Many,more,-Mweya -Gahunga,now-Simple timber bridge,9-12 months,>3,>6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.7m.-The space for foundation is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,3000-6000,1941m,Kabere-Nyabimata,300-600,Many,No,-Mpuza,now-Simple timber bridge,3-6 months,2-3,>6,0.5 hours,2-6 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
